Year,On-road-freight,Aviation,Petrochemicals,Biomass for Electricty,Shipping
2020,16.7,10.6,11.7,9,19
2021,16.81,11.31333333,11.84333333,9.7,17.33333333
2022,16.92,12.02666667,11.98666667,10.4,15.66666667
2023,17.03,12.74,12.13,11.1,14
2024,17.14,13.45333333,12.27333333,11.8,12.33333333
2025,17.25,14.16666667,12.41666667,12.5,10.66666667
2026,17.36,14.88,12.56,13.2,9
2027,17.47,15.59333333,12.70333333,13.9,7.333333333
2028,17.58,16.30666667,12.84666667,14.6,5.666666667
2029,17.69,17.02,12.99,15.3,4
2030,17.8,17.73333333,13.13333333,16,2.333333333
2031,17.91,18.44666667,13.27666667,16.7,0.666666667
2032,18.02,19.16,13.42,17.4,0
2033,18.13,19.87333333,13.56333333,18.1,0
2034,18.24,20.58666667,13.70666667,18.8,0
2035,18.35,21.3,13.85,19.5,0
2036,18.46,22.01333333,13.99333333,20.2,0
2037,18.57,22.72666667,14.13666667,20.9,0
2038,18.68,23.44,14.28,21.6,0
2039,18.79,24.15333333,14.42333333,22.3,0
2040,18.9,24.86666667,14.56666667,23,0
2041,19.01,25.58,14.71,23.7,0
2042,19.12,26.29333333,14.85333333,24.4,0
2043,19.23,27.00666667,14.99666667,25.1,0
2044,19.34,27.72,15.14,25.8,0
2045,19.45,28.43333333,15.28333333,26.5,0
2046,19.56,29.14666667,15.42666667,27.2,0
2047,19.67,29.86,15.57,27.9,0
2048,19.78,30.57333333,15.71333333,28.6,0
2049,19.89,31.28666667,15.85666667,29.3,0
2050,20,32,16,30,0
